subNum	 session	 trialNo	 variability	 targPresent	 targSide	 response	 accuracy
2	 2	 46	 1.90	 1	 left	 l	 1
2	 2	 47	 10.00	 1	 right	 l	 1
2	 2	 48	 10.00	 0	 x	 r	 1
2	 2	 49	 1.90	 1	 right	 l	 1
2	 2	 50	 10.00	 0	 x	 r	 1
2	 2	 51	 10.00	 1	 right	 l	 1
2	 2	 52	 10.00	 0	 x	 r	 1
2	 2	 53	 1.90	 0	 x	 l	 0
2	 2	 54	 1.90	 0	 x	 l	 0
2	 2	 55	 1.90	 1	 right	 l	 1
2	 2	 56	 10.00	 0	 x	 r	 1
2	 2	 57	 1.90	 1	 right	 l	 1
2	 2	 58	 1.90	 1	 right	 r	 0
2	 2	 59	 10.00	 0	 x	 r	 1
2	 2	 60	 10.00	 1	 left	 l	 1
2	 2	 61	 1.90	 1	 left	 l	 1
2	 2	 62	 1.90	 0	 x	 r	 1
2	 2	 63	 10.00	 1	 left	 l	 1
2	 2	 64	 1.90	 1	 left	 l	 1
2	 2	 65	 1.90	 0	 x	 l	 0
2	 2	 66	 1.90	 0	 x	 r	 1
2	 2	 67	 1.90	 1	 left	 r	 0
2	 2	 68	 10.00	 0	 x	 r	 1
2	 2	 69	 1.90	 0	 x	 r	 1
2	 2	 70	 10.00	 1	 left	 l	 1
2	 2	 71	 1.90	 0	 x	 r	 1
2	 2	 72	 10.00	 1	 left	 l	 1
2	 2	 73	 10.00	 1	 left	 l	 1
2	 2	 74	 10.00	 0	 x	 r	 1
2	 2	 75	 1.90	 0	 x	 l	 0
2	 2	 76	 10.00	 1	 right	 l	 1
2	 2	 77	 10.00	 0	 x	 r	 1
2	 2	 78	 10.00	 1	 left	 l	 1
2	 2	 79	 10.00	 1	 right	 l	 1
2	 2	 80	 10.00	 1	 left	 l	 1
5	 1	 1	 10.00	 0	 x	 r	 1
5	 1	 2	 10.00	 1	 left	 l	 1
5	 1	 3	 1.90	 0	 x	 r	 1
5	 1	 4	 1.90	 0	 x	 r	 1
5	 1	 5	 10.00	 1	 right	 l	 1
5	 1	 6	 10.00	 0	 x	 r	 1
5	 1	 7	 1.90	 1	 left	 l	 1
5	 1	 8	 10.00	 1	 left	 l	 1
5	 1	 9	 1.90	 0	 x	 r	 1
5	 1	 10	 10.00	 0	 x	 r	 1
5	 1	 11	 10.00	 0	 x	 r	 1
5	 1	 12	 10.00	 1	 right	 l	 1
5	 1	 13	 1.90	 1	 left	 r	 0
5	 1	 14	 1.90	 0	 x	 r	 1
5	 1	 15	 1.90	 0	 x	 r	 1
5	 1	 16	 10.00	 1	 left	 l	 1
5	 1	 17	 10.00	 1	 left	 l	 1
5	 1	 18	 10.00	 0	 x	 r	 1
5	 1	 19	 1.90	 0	 x	 r	 1
5	 1	 20	 10.00	 1	 right	 l	 1
5	 1	 21	 10.00	 1	 left	 l	 1
5	 1	 22	 1.90	 1	 left	 l	 1
5	 1	 23	 1.90	 1	 right	 l	 1
5	 1	 24	 10.00	 1	 right	 l	 1
5	 1	 25	 1.90	 1	 right	 l	 1
5	 1	 26	 1.90	 1	 right	 l	 1
5	 1	 27	 10.00	 1	 left	 l	 1
5	 1	 28	 1.90	 1	 left	 l	 1
5	 1	 29	 1.90	 1	 left	 l	 1
5	 1	 30	 1.90	 0	 x	 l	 0
5	 1	 31	 1.90	 1	 left	 r	 0
5	 1	 32	 1.90	 0	 x	 r	 1
5	 1	 33	 1.90	 0	 x	 r	 1
5	 1	 34	 10.00	 0	 x	 r	 1
5	 1	 35	 1.90	 0	 x	 r	 1
5	 1	 36	 10.00	 0	 x	 r	 1
5	 1	 37	 1.90	 0	 x	 r	 1
5	 1	 38	 1.90	 0	 x	 r	 1
5	 1	 39	 10.00	 0	 x	 r	 1
5	 1	 40	 1.90	 1	 right	 r	 0
5	 1	 41	 1.90	 1	 left	 r	 0
5	 1	 42	 1.90	 0	 x	 l	 0
5	 1	 43	 10.00	 1	 right	 l	 1
5	 1	 44	 10.00	 0	 x	 r	 1
5	 1	 45	 10.00	 0	 x	 r	 1
5	 1	 46	 1.90	 1	 right	 l	 1
5	 1	 47	 10.00	 0	 x	 r	 1
5	 1	 48	 10.00	 1	 right	 l	 1
5	 1	 49	 1.90	 1	 left	 l	 1
5	 1	 50	 1.90	 1	 right	 r	 0
5	 1	 51	 10.00	 1	 left	 l	 1
5	 1	 52	 10.00	 1	 right	 l	 1
5	 1	 53	 10.00	 1	 right	 l	 1
5	 1	 54	 10.00	 0	 x	 r	 1
5	 1	 55	 10.00	 0	 x	 r	 1
5	 1	 56	 10.00	 1	 left	 l	 1
5	 1	 57	 1.90	 0	 x	 r	 1
5	 1	 58	 10.00	 0	 x	 r	 1
5	 1	 59	 1.90	 1	 right	 l	 1
5	 1	 60	 1.90	 0	 x	 r	 1
5	 1	 61	 10.00	 0	 x	 r	 1
5	 1	 62	 10.00	 1	 left	 l	 1
5	 1	 63	 10.00	 0	 x	 r	 1
5	 1	 64	 10.00	 0	 x	 r	 1
5	 1	 65	 1.90	 1	 right	 r	 0
5	 1	 66	 1.90	 0	 x	 r	 1
5	 1	 67	 10.00	 0	 x	 r	 1
5	 1	 68	 10.00	 1	 right	 l	 1
5	 1	 69	 1.90	 0	 x	 r	 1
5	 1	 70	 1.90	 0	 x	 r	 1
5	 1	 71	 1.90	 1	 left	 r	 0
5	 1	 72	 10.00	 1	 left	 l	 1
5	 1	 73	 1.90	 1	 left	 r	 0
5	 1	 74	 10.00	 1	 right	 l	 1
5	 1	 75	 1.90	 0	 x	 l	 0
5	 1	 76	 1.90	 1	 right	 l	 1
5	 1	 77	 10.00	 0	 x	 r	 1
5	 1	 78	 1.90	 1	 right	 r	 0
5	 1	 79	 10.00	 0	 x	 r	 1
5	 1	 80	 1.90	 0	 x	 r	 1
5	 2	 1	 10.00	 1	 left	 l	 1
5	 2	 2	 10.00	 1	 left	 l	 1
5	 2	 3	 10.00	 1	 right	 l	 1
5	 2	 4	 1.90	 0	 x	 r	 1
5	 2	 5	 10.00	 1	 right	 l	 1
5	 2	 6	 10.00	 0	 x	 r	 1
5	 2	 7	 10.00	 0	 x	 r	 1
5	 2	 8	 1.90	 1	 left	 r	 0
5	 2	 9	 1.90	 1	 right	 l	 1
5	 2	 10	 1.90	 0	 x	 l	 0
5	 2	 11	 10.00	 1	 right	 l	 1
5	 2	 12	 10.00	 0	 x	 r	 1
5	 2	 13	 10.00	 1	 right	 r	 0
5	 2	 14	 1.90	 0	 x	 l	 0
5	 2	 15	 1.90	 0	 x	 r	 1
5	 2	 16	 1.90	 1	 left	 l	 1
5	 2	 17	 1.90	 0	 x	 r	 1
5	 2	 18	 10.00	 0	 x	 r	 1
5	 2	 19	 10.00	 0	 x	 l	 0
5	 2	 20	 1.90	 0	 x	 l	 0
5	 2	 21	 1.90	 0	 x	 r	 1
5	 2	 22	 10.00	 0	 x	 l	 0
5	 2	 23	 1.90	 1	 right	 r	 0
5	 2	 24	 10.00	 1	 right	 l	 1
5	 2	 25	 10.00	 1	 left	 l	 1
5	 2	 26	 10.00	 0	 x	 l	 0
5	 2	 27	 10.00	 1	 right	 l	 1
5	 2	 28	 1.90	 0	 x	 r	 1
5	 2	 29	 10.00	 1	 right	 l	 1
5	 2	 30	 1.90	 1	 left	 r	 0
5	 2	 31	 10.00	 0	 x	 r	 1
5	 2	 32	 10.00	 0	 x	 r	 1
5	 2	 33	 1.90	 0	 x	 l	 0
5	 2	 34	 10.00	 1	 left	 l	 1
5	 2	 35	 1.90	 0	 x	 r	 1
5	 2	 36	 1.90	 0	 x	 r	 1
5	 2	 37	 1.90	 1	 right	 r	 0
5	 2	 38	 1.90	 1	 right	 r	 0
5	 2	 39	 10.00	 1	 left	 l	 1
5	 2	 40	 1.90	 1	 right	 r	 0
5	 2	 41	 1.90	 0	 x	 l	 0
5	 2	 42	 10.00	 0	 x	 r	 1
5	 2	 43	 10.00	 1	 right	 l	 1
5	 2	 44	 1.90	 0	 x	 r	 1
5	 2	 45	 10.00	 0	 x	 r	 1
5	 2	 46	 1.90	 1	 right	 r	 0
5	 2	 47	 1.90	 1	 right	 r	 0
5	 2	 48	 1.90	 0	 x	 l	 0
5	 2	 49	 10.00	 0	 x	 l	 0
5	 2	 50	 10.00	 1	 right	 l	 1
5	 2	 51	 10.00	 0	 x	 l	 0
5	 2	 52	 1.90	 0	 x	 r	 1
5	 2	 53	 10.00	 0	 x	 l	 0
5	 2	 54	 10.00	 0	 x	 l	 0
5	 2	 55	 10.00	 0	 x	 l	 0
5	 2	 56	 1.90	 1	 right	 r	 0
5	 2	 57	 10.00	 0	 x	 r	 1
